Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
209,0.306,0.0431740663,-0.129112662,1.368057986,0.0501016076,0.202,0.0507543102,-0.0826343585,2.9124358628,1.2599976308,0.492,0.0365513338,-0.6119174943,1.2969450321,0.2329592161,0.492,0.0365513338,-0.6119174943,1.2969450321,0.2329592161,0.8575413971350001,0.827319384657
21,0.302,0.0426145515,-0.6658391261,2.4986027286,0.9471232726,0.262,0.0256124969,0.1201716738,2.6848602023,1.0627434041,0.436,0.0431740663,-1.0705808869,1.368057986,0.0501016076,0.436,0.0431740663,-1.0705808869,1.368057986,0.0501016076,0.79350732043,0.7488838779895001
210,0.236,0.0300665928,-0.3829787234,2.0385699742,-0.0988955201,0.266,0.0300665928,0.0196998124,2.5084579842,0.7841001948,0.498,0.0256124969,-0.105006105,2.4171624033,0.2228332944,0.498,0.0256124969,-0.105006105,2.4171624033,0.2228332944,0.792648445486,0.7671982427942502
211,0.27,0.0554977477,-0.4109589041,2.2537527408,-0.252730509,0.218,0.0292574777,0.6375921376,1.3093283256,-0.0900800147,0.512,0.0411825206,-1.0680218921,1.5261881452,-0.0226786086,0.512,0.0411825206,-1.0680218921,1.5261881452,-0.0226786086,0.7735781022899999,0.6978673173495002
212,0.298,0.0172046505,0.1734417344,1.9945215486,-0.3958703373,0.262,0.0278567766,0.4938132733,1.4252843023,-0.0399688047,0.44,0.0141421356,0.6666666667,1.7,0.0,0.44,0.0141421356,0.6666666667,1.7,0.0,0.84563198329,0.8335872925160001
213,0.23,0.0569209979,0.1415929204,1.5032007316,0.0130134883,0.276,0.0449888875,0.4677661169,1.3249777375,0.408005893,0.494,0.0538887743,-0.4314400459,3.0995947453,1.3744256871,0.494,0.0538887743,-0.4314400459,3.0995947453,1.3744256871,0.7754455093249999,0.760972768996
214,0.16,0.0178885438,-0.75,1.953125,0.6288941187,0.3,0.0918694726,-0.6863270777,1.4164663866,-0.097500788,0.54,0.0885437745,-0.6975476839,1.3188515202,0.2160812906,0.54,0.0885437745,-0.6975476839,1.3188515202,0.2160812906,0.9150264575195,0.9098969044196501
215,0.2,0.0334664011,-0.4615384615,2.5,0.7683612489,0.316,0.0205912603,0.2381974249,1.7481310075,0.6817327185,0.484,0.0382622529,0.0803452855,2.9672579056,-1.2502156015,0.484,0.0382622529,0.0803452855,2.9672579056,-1.2502156015,0.8414725435600001,0.824436021066
216,0.23,0.0252982213,0.5357142857,1.26953125,-0.222347648,0.318,0.0495580468,-0.5405117271,2.2768464387,-0.8269840323,0.452,0.0444522215,-1.0401337793,1.2917848186,0.2770567825,0.452,0.0444522215,-1.0401337793,1.2917848186,0.2770567825,0.9076510243265001,0.9047652912081501
217,0.268,0.0406939799,-0.3631937683,2.0138276272,-0.4964591471,0.348,0.0203960781,-0.290726817,1.3731508876,-0.1527442976,0.384,0.0349857114,-0.151249156,1.3717160067,0.1972794182,0.384,0.0349857114,-0.151249156,1.3717160067,0.1972794182,0.841437776193,0.8394748290725002
